iter	Passed	Remaining
610	6595	4199
611	6606	4188
612	6616	4177
613	6626	4165
614	6636	4154
615	6646	4143
616	6655	4131
617	6665	4120
618	6676	4109
619	6688	4099
620	6699	4088
621	6709	4077
622	6720	4066
623	6729	4054
624	6740	4044
625	6750	4033
626	6760	4021
627	6767	4009
628	6776	3996
629	6784	3984
630	6792	3972
631	6800	3959
632	6807	3947
633	6816	3934
634	6824	3922
635	6832	3910
636	6841	3898
637	6849	3886
638	6858	3874
639	6867	3863
640	6878	3852
641	6891	3842
642	6903	3832
643	6913	3821
644	6924	3811
645	6934	3800
646	6944	3788
647	6953	3777
648	6964	3766
649	6974	3755
650	6984	3744
651	6994	3733
652	7005	3722
653	7016	3711
654	7026	3700
655	7034	3688
656	7043	3677
657	7051	3665
658	7060	3653
659	7068	3641
660	7076	3629
661	7086	3618
662	7094	3606
663	7104	3595
664	7115	3584
665	7127	3574
666	7136	3563
667	7146	3551
668	7155	3540
669	7165	3529
670	7175	3518
671	7186	3507
672	7198	3497
673	7207	3486
674	7216	3474
675	7226	3463
676	7236	3452
677	7246	3441
678	7256	3430
679	7266	3419
680	7276	3408
681	7285	3397
682	7294	3385
683	7303	3374
684	7312	3362
685	7321	3351
686	7330	3339
687	7339	3328
688	7350	3317
689	7358	3305
690	7366	3294
691	7375	3282
692	7384	3271
693	7394	3260
694	7405	3249
695	7416	3239
696	7426	3228
697	7436	3217
698	7448	3207
699	7459	3196
700	7470	3186
701	7480	3175
702	7490	3164
703	7500	3153
704	7514	3144
705	7527	3134
706	7538	3124
707	7547	3112
708	7555	3101
709	7564	3089
710	7572	3078
711	7579	3066
712	7587	3054
713	7594	3041
714	7602	3030
715	7610	3018
716	7619	3007
717	7628	2996
718	7638	2985
719	7648	2974
720	7657	2963
721	7668	2952
722	7678	2941
723	7687	2930
724	7697	2919
725	7706	2908
726	7716	2897
727	7729	2888
728	7742	2878
729	7752	2867
730	7763	2856
731	7775	2846
732	7785	2835
733	7794	2824
734	7802	2813
735	7811	2801
736	7819	2790
737	7828	2779
738	7836	2767
739	7844	2756
740	7853	2744
741	7861	2733
742	7869	2721
743	7877	2710
744	7886	2699
745	7895	2688
746	7903	2676
747	7911	2665
748	7920	2654
749	7931	2643
750	7941	2632
751	7950	2621
752	7959	2610
753	7968	2599
754	7978	2589
755	7989	2578
756	7998	2567
757	8008	2556
758	8016	2545
759	8025	2534
760	8034	2523
761	8044	2512
762	8055	2502
763	8066	2491
764	8075	2480
765	8085	2469
766	8093	2458
767	8101	2447
768	8110	2436
769	8119	2425
770	8130	2414
771	8138	2403
772	8148	2392
773	8157	2381
774	8166	2370
775	8174	2359
776	8182	2348
777	8191	2337
778	8201	2326
779	8210	2315
780	8218	2304
781	8228	2293
782	8238	2283
783	8247	2272
784	8255	2261
785	8263	2249
